cid,bookid,catid,title,typeid,thumb,description,gx_type,update_chapter_name,author,status_bz,updatetime,view_type,average_score,rank_id,hit_num,views,vip_tag_name,vip_tag_type
2,2253,33,末世后时代,,http://cdn.517w.com/uploadfile/2017/0901/20170901053126661.jpg,"末世之后，灵气充盈天地、生物疯狂进化，人类从食物链最顶端跌下，艰难求存。
陆枕青在一次意外中唤醒了沉眠的精灵“长庚”，在逐渐揭开身世之谜的同时，亦开启“人”与“变异生物”契约共存的崭新生存之道……除了精灵王大人太难伺候这一点，陆枕青也算是抱紧金大腿走上人生巅峰迎娶高帅富了呢_(:з」∠)_

这个时代源自毁灭，这个时代走向新生。",0,,有鱼漫画工作室,,1505378444,0,4.8555,,54128901,32457024,,
2,4980,31,攻妻不备,,http://cdn.517w.com/uploadfile/2019/0624/thumb_20190624151853626.jpg,"她用了三个月适应她的新身份——席御哲的小姨。每日看他抱着别人温柔缱绻，内心再也受不了煎熬。
   夏日午后，他手持玫瑰却被她强吻：“我告诉你！我不是你小姨，这辈子，以后都不想当你小姨！我是……”席御哲淡薄的目光，却让她将剩下的话吞回。她是，谁呢？他根本就已经记不起！",2,,神鱼漫社,,1563171397,1,0,,1558568,882690,,
2,4794,31,军阀老公贼坏：狠狠霸占你,,http://cdn.517w.com/uploadfile/2019/0309/thumb_20190309164636464.jpg,美丽夜总会女老板装傻卖丑只为逃婚，谁知道惹到夫家的军阀七叔； 杀伐果决的一代军阀，只因偶然的心动，抢了自己侄媳妇。 从此：“老婆最大，我老婆我不宠，谁宠？”宠到你目中无人，宠到你无法无天！,2,,猫蛋蛋工厂,,1559203267,0,3.2667,,3647272,7164603,,
2,4453,31,猫小白,,http://cdn.517w.com/uploadfile/2018/0427/thumb_20180427162829183.jpg,"可爱的小猫变成了少女，开启不按常理出牌的爆笑猫生,治愈、搞笑的冒险旅程就此开始！",1,,小宇轩,,1532744445,1,4.9,,29803877,31176658,,
2,4230,31,我家殿下要挂了,,http://cdn.517w.com/uploadfile/2018/0201/thumb_20180201171336752.jpg,没见过东篱以前，宋井颜想找个有车有房，身体健康，努力上进的好青年。见到东篱之后，她脑子里只剩下一个念头，怎么把东篱推倒在她的大床之上！,2,,云端漫画/菖尕/Sandro,,1518627619,0,4.8085,,4657993,4273437,,
2,2991,31,魔王切治疗,,http://cdn.517w.com/uploadfile/2019/0524/20190524043438915.jpg,本篇讲述的是一个作为杂鱼门派的无天门，一群不靠谱的弟子在不靠谱的师父的带领下如何将门派发扬光大的故事！,2,,蛮麟,,1524819674,0,4.9027,,548395775,518693446,,
2,2725,32,精英联盟,,http://cdn.517w.com/uploadfile/2017/0927/thumb_20170927220703791.jpg,末世超能力大乱斗,3,,千亮,,1532999063,0,4.8163,,267476416,172127868,,
2,2634,31,为什么后宫男主的我跑到了百合漫画,,http://cdn.517w.com/uploadfile/2018/0418/20180418054342684.jpg,讲述一个全身都是后宫男主要素的少年明明是要攻略妹子，但结果却让妹子们都在一起了的故事。,1,,吉太,,1533081618,0,4.9121,,188261423,146803764,,
2,2558,33,遇见20岁,,http://cdn.517w.com/uploadfile/2017/0831/20170831024742609.jpg,外冷内热面瘫攻X阳光居家贤妻受的欢脱日常！,1,,目八,,1534728416,1,4.9139,,257692935,175484750,,
2,2537,32,妖书录,,http://cdn.517w.com/uploadfile/2017/0831/20170831025543296.jpg,被妖精养大的人类姜小尘，如何在这个人妖共生的世界上，寻找出自己身世的真相。而被美女蛇和人类少女同时宠爱的他，最终会做出什么选择。,0,,默,,1517587321,0,4.7699,,165390077,60372945,,
